"","Year","Country...territory.of.asylum.residence","Origin","Population.type","Value"
"50",1953,"Morocco","Various/Unknown","Refugees (incl. refugee-like situations)","2800"
"51",1953,"Netherlands","Various/Unknown","Refugees (incl. refugee-like situations)","13900"
"52",1953,"Norway","Various/Unknown","Refugees (incl. refugee-like situations)","2500"
"53",1953,"Sweden","Various/Unknown","Refugees (incl. refugee-like situations)","37000"
"54",1953,"Turkey","Various/Unknown","Refugees (incl. refugee-like situations)","2000"
"55",1953,"United States of America","Various/Unknown","Refugees (incl. refugee-like situations)","500000"
"56",1954,"Austria","Various/Unknown","Refugees (incl. refugee-like situations)","150000"
"57",1954,"Belgium","Various/Unknown","Refugees (incl. refugee-like situations)","53000"
"58",1954,"Canada","Various/Unknown","Refugees (incl. refugee-like situations)","75828"
"59",1954,"Switzerland","Various/Unknown","Refugees (incl. refugee-like situations)","9400"
"60",1954,"Germany","Various/Unknown","Refugees (incl. refugee-like situations)","225000"
"61",1954,"Denmark","Various/Unknown","Refugees (incl. refugee-like situations)","1400"
"62",1954,"Spain","Various/Unknown","Refugees (incl. refugee-like situations)","2000"
"63",1954,"France","Various/Unknown","Refugees (incl. refugee-like situations)","263000"
"64",1954,"United Kingdom","Various/Unknown","Refugees (incl. refugee-like situations)","182000"
"65",1954,"Greece","Various/Unknown","Refugees (incl. refugee-like situations)","19000"
"66",1954,"China, Hong Kong SAR","Various/Unknown","Refugees (incl. refugee-like situations)","22000"
"67",1954,"Italy","Various/Unknown","Refugees (incl. refugee-like situations)","21500"
"68",1954,"Luxembourg","Various/Unknown","Refugees (incl. refugee-like situations)","1800"
"69",1954,"Morocco","Various/Unknown","Refugees (incl. refugee-like situations)","3500"
"70",1954,"Netherlands","Various/Unknown","Refugees (incl. refugee-like situations)","12400"
"71",1954,"Norway","Various/Unknown","Refugees (incl. refugee-like situations)","2300"
"72",1954,"Sweden","Various/Unknown","Refugees (incl. refugee-like situations)","33000"
"73",1954,"Tunisia","Various/Unknown","Refugees (incl. refugee-like situations)","2000"
"74",1954,"Turkey","Various/Unknown","Refugees (incl. refugee-like situations)","2500"
"75",1954,"United States of America","Various/Unknown","Refugees (incl. refugee-like situations)","500000"
"76",1955,"Austria","Various/Unknown","Refugees (incl. refugee-like situations)","110000"
"77",1955,"Belgium","Various/Unknown","Refugees (incl. refugee-like situations)","53000"
"78",1955,"Canada","Various/Unknown","Refugees (incl. refugee-like situations)","52551"
"79",1955,"Switzerland","Various/Unknown","Refugees (incl. refugee-like situations)","9200"
"80",1955,"Germany","Various/Unknown","Refugees (incl. refugee-like situations)","219000"
"81",1955,"Denmark","Various/Unknown","Refugees (incl. refugee-like situations)","1300"
"82",1955,"France","Various/Unknown","Refugees (incl. refugee-like situations)","345415"
"83",1955,"United Kingdom","Various/Unknown","Refugees (incl. refugee-like situations)","175000"
"84",1955,"Greece","Various/Unknown","Refugees (incl. refugee-like situations)","17400"
"85",1955,"Italy","Various/Unknown","Refugees (incl. refugee-like situations)","18500"
"86",1955,"Luxembourg","Various/Unknown","Refugees (incl. refugee-like situations)","1800"
"87",1955,"Netherlands","Various/Unknown","Refugees (incl. refugee-like situations)","11400"
"88",1955,"Norway","Various/Unknown","Refugees (incl. refugee-like situations)","2300"
"89",1955,"Sweden","Various/Unknown","Refugees (incl. refugee-like situations)","28000"
"90",1955,"Turkey","Various/Unknown","Refugees (incl. refugee-like situations)","2200"
"91",1955,"United States of America","Various/Unknown","Refugees (incl. refugee-like situations)","500000"
"92",1956,"Austria","Various/Unknown","Refugees (incl. refugee-like situations)","140000"
"93",1956,"Belgium","Various/Unknown","Refugees (incl. refugee-like situations)","65000"
"94",1956,"Canada","Various/Unknown","Refugees (incl. refugee-like situations)","17485"
"95",1956,"Switzerland","Various/Unknown","Refugees (incl. refugee-like situations)","20700"
"96",1956,"Germany","Various/Unknown","Refugees (incl. refugee-like situations)","221000"
"97",1956,"Denmark","Various/Unknown","Refugees (incl. refugee-like situations)","2500"
"98",1956,"France","Various/Unknown","Refugees (incl. refugee-like situations)","363290"
"99",1956,"United Kingdom","Various/Unknown","Refugees (incl. refugee-like situations)","182000"
"100",1956,"Greece","Various/Unknown","Refugees (incl. refugee-like situations)","16000"
"101",1956,"Italy","Various/Unknown","Refugees (incl. refugee-like situations)","21500"
"102",1956,"Luxembourg","Various/Unknown","Refugees (incl. refugee-like situations)","1900"
"103",1956,"Netherlands","Various/Unknown","Refugees (incl. refugee-like situations)","13600"
"104",1956,"Norway","Various/Unknown","Refugees (incl. refugee-like situations)","2800"
"105",1956,"Sweden","Various/Unknown","Refugees (incl. refugee-like situations)","31000"
"106",1956,"Turkey","Various/Unknown","Refugees (incl. refugee-like situations)","2100"
"107",1956,"United States of America","Various/Unknown","Refugees (incl. refugee-like situations)","500000"
"108",1957,"Austria","Various/Unknown","Refugees (incl. refugee-like situations)","68000"
"109",1957,"Belgium","Various/Unknown","Refugees (incl. refugee-like situations)","69000"
"110",1957,"Canada","Various/Unknown","Refugees (incl. refugee-like situations)","46334"
"111",1957,"Switzerland","Various/Unknown","Refugees (incl. refugee-like situations)","20500"
"112",1957,"Germany","Various/Unknown","Refugees (incl. refugee-like situations)","217000"
"113",1957,"Denmark","Various/Unknown","Refugees (incl. refugee-like situations)","2500"
"114",1957,"France","Various/Unknown","Refugees (incl. refugee-like situations)","389480"
"115",1957,"United Kingdom","Various/Unknown","Refugees (incl. refugee-like situations)","179000"
"116",1957,"Greece","Various/Unknown","Refugees (incl. refugee-like situations)","16000"
"117",1957,"Italy","Various/Unknown","Refugees (incl. refugee-like situations)","21000"
"118",1957,"Luxembourg","Various/Unknown","Refugees (incl. refugee-like situations)","1900"
"119",1957,"Netherlands","Various/Unknown","Refugees (incl. refugee-like situations)","13500"
"120",1957,"Norway","Various/Unknown","Refugees (incl. refugee-like situations)","3400"
"121",1957,"Sweden","Various/Unknown","Refugees (incl. refugee-like situations)","33000"
"122",1957,"Turkey","Various/Unknown","Refugees (incl. refugee-like situations)","2200"
"123",1957,"United States of America","Various/Unknown","Refugees (incl. refugee-like situations)","500000"
"124",1958,"Austria","Various/Unknown","Refugees (incl. refugee-like situations)","53000"
"125",1958,"Belgium","Various/Unknown","Refugees (incl. refugee-like situations)","63000"
"126",1958,"Canada","Various/Unknown","Refugees (incl. refugee-like situations)","46908"
"127",1958,"Switzerland","Various/Unknown","Refugees (incl. refugee-like situations)","20000"
"128",1958,"Germany","Various/Unknown","Refugees (incl. refugee-like situations)","212000"
"129",1958,"Denmark","Various/Unknown","Refugees (incl. refugee-like situations)","2500"
"130",1958,"France","Various/Unknown","Refugees (incl. refugee-like situations)","381152"
"131",1958,"United Kingdom","Various/Unknown","Refugees (incl. refugee-like situations)","175000"
"132",1958,"Greece","Various/Unknown","Refugees (incl. refugee-like situations)","15700"
"133",1958,"Italy","Various/Unknown","Refugees (incl. refugee-like situations)","21000"
"134",1958,"Luxembourg","Various/Unknown","Refugees (incl. refugee-like situations)","1900"
"135",1958,"Morocco","Various/Unknown","Refugees (incl. refugee-like situations)","2700"
"136",1958,"Netherlands","Various/Unknown","Refugees (incl. refugee-like situations)","13000"
"137",1958,"Norway","Various/Unknown","Refugees (incl. refugee-like situations)","3300"
"138",1958,"Sweden","Various/Unknown","Refugees (incl. refugee-like situations)","31000"
"139",1958,"Tunisia","Various/Unknown","Refugees (incl. refugee-like situations)","1000"
"140",1958,"Turkey","Various/Unknown","Refugees (incl. refugee-like situations)","2150"
"141",1958,"United States of America","Various/Unknown","Refugees (incl. refugee-like situations)","500000"
"142",1959,"Austria","Various/Unknown","Refugees (incl. refugee-like situations)","44000"
"143",1959,"Belgium","Various/Unknown","Refugees (incl. refugee-like situations)","58000"
"144",1959,"Canada","Various/Unknown","Refugees (incl. refugee-like situations)","47934"
"145",1959,"Switzerland","Various/Unknown","Refugees (incl. refugee-like situations)","20000"
"146",1959,"Germany","Various/Unknown","Refugees (incl. refugee-like situations)","205000"
"147",1959,"Denmark","Various/Unknown","Refugees (incl. refugee-like situations)","2400"
"148",1959,"France","Various/Unknown","Refugees (incl. refugee-like situations)","387201"
"149",1959,"United Kingdom","Various/Unknown","Refugees (incl. refugee-like situations)","170000"
"150",1959,"Greece","Various/Unknown","Refugees (incl. refugee-like situations)","15500"
"151",1959,"Italy","Various/Unknown","Refugees (incl. refugee-like situations)","18500"
"152",1959,"Luxembourg","Various/Unknown","Refugees (incl. refugee-like situations)","1900"
"153",1959,"Morocco","Various/Unknown","Refugees (incl. refugee-like situations)","2700"
"154",1959,"Netherlands","Various/Unknown","Refugees (incl. refugee-like situations)","12800"
"155",1959,"Norway","Various/Unknown","Refugees (incl. refugee-like situations)","3100"
"156",1959,"Sweden","Various/Unknown","Refugees (incl. refugee-like situations)","28000"
"157",1959,"Tunisia","Various/Unknown","Refugees (incl. refugee-like situations)","1000"
"158",1959,"Turkey","Various/Unknown","Refugees (incl. refugee-like situations)","2150"
"159",1959,"United States of America","Various/Unknown","Refugees (incl. refugee-like situations)","500000"
"160",1960,"Austria","Various/Unknown","Refugees (incl. refugee-like situations)","39000"
"161",1960,"Belgium","Various/Unknown","Refugees (incl. refugee-like situations)","55000"
"162",1960,"Canada","Various/Unknown","Refugees (incl. refugee-like situations)","48629"
"163",1960,"Switzerland","Various/Unknown","Refugees (incl. refugee-like situations)","20000"
"164",1960,"Dem. Rep. of the Congo","Angola","Refugees (incl. refugee-like situations)","150000"
"165",1960,"Germany","Various/Unknown","Refugees (incl. refugee-like situations)","197000"
"166",1960,"Denmark","Various/Unknown","Refugees (incl. refugee-like situations)","2300"
"167",1960,"France","Various/Unknown","Refugees (incl. refugee-like situations)","245935"
"168",1960,"United Kingdom","Various/Unknown","Refugees (incl. refugee-like situations)","167000"
"169",1960,"Greece","Various/Unknown","Refugees (incl. refugee-like situations)","15500"
"170",1960,"Italy","Various/Unknown","Refugees (incl. refugee-like situations)","15500"
"171",1960,"Luxembourg","Various/Unknown","Refugees (incl. refugee-like situations)","1900"
"172",1960,"Morocco","Various/Unknown","Refugees (incl. refugee-like situations)","2700"
"173",1960,"Netherlands","Various/Unknown","Refugees (incl. refugee-like situations)","12000"
"174",1960,"Norway","Various/Unknown","Refugees (incl. refugee-like situations)","3000"
"175",1960,"Sweden","Various/Unknown","Refugees (incl. refugee-like situations)","26000"
"176",1960,"Tunisia","Various/Unknown","Refugees (incl. refugee-like situations)","1000"
"177",1960,"Turkey","Various/Unknown","Refugees (incl. refugee-like situations)","2200"
"178",1960,"United States of America","Various/Unknown","Refugees (incl. refugee-like situations)","500000"
"179",1961,"Austria","Various/Unknown","Refugees (incl. refugee-like situations)","34000"
"180",1961,"Burundi","Rwanda","Refugees (incl. refugee-like situations)","30000"
"181",1961,"Belgium","Various/Unknown","Refugees (incl. refugee-like situations)","53000"
"182",1961,"Canada","Various/Unknown","Refugees (incl. refugee-like situations)","44492"
"183",1961,"Switzerland","Various/Unknown","Refugees (incl. refugee-like situations)","20000"
"184",1961,"Dem. Rep. of the Congo","Angola","Refugees (incl. refugee-like situations)","150000"
"185",1961,"Dem. Rep. of the Congo","Rwanda","Refugees (incl. refugee-like situations)","53000"
"186",1961,"Germany","Various/Unknown","Refugees (incl. refugee-like situations)","190000"
"187",1961,"Denmark","Various/Unknown","Refugees (incl. refugee-like situations)","2200"
"188",1961,"Spain","Various/Unknown","Refugees (incl. refugee-like situations)","2000"
"189",1961,"France","Various/Unknown","Refugees (incl. refugee-like situations)","253375"
"190",1961,"United Kingdom","Various/Unknown","Refugees (incl. refugee-like situations)","164000"
"191",1961,"Greece","Various/Unknown","Refugees (incl. refugee-like situations)","15200"
"192",1961,"Italy","Various/Unknown","Refugees (incl. refugee-like situations)","14500"
"193",1961,"Luxembourg","Various/Unknown","Refugees (incl. refugee-like situations)","1900"
"194",1961,"Morocco","Various/Unknown","Refugees (incl. refugee-like situations)","2900"
"195",1961,"Netherlands","Various/Unknown","Refugees (incl. refugee-like situations)","10000"
"196",1961,"Norway","Various/Unknown","Refugees (incl. refugee-like situations)","3000"
"197",1961,"Sweden","Various/Unknown","Refugees (incl. refugee-like situations)","26000"
"198",1961,"Togo","Ghana","Refugees (incl. refugee-like situations)","5000"
"199",1961,"Tunisia","Various/Unknown","Refugees (incl. refugee-like situations)","1000"
"200",1961,"Turkey","Various/Unknown","Refugees (incl. refugee-like situations)","2300"
"201",1961,"United Rep. of Tanzania","Rwanda","Refugees (incl. refugee-like situations)","12000"
"202",1961,"Uganda","Rwanda","Refugees (incl. refugee-like situations)","52000"
"203",1961,"United States of America","Various/Unknown","Refugees (incl. refugee-like situations)","500000"
"204",1962,"Austria","Various/Unknown","Refugees (incl. refugee-like situations)","30000"
"205",1962,"Burundi","Rwanda","Refugees (incl. refugee-like situations)","30000"
"206",1962,"Belgium","Various/Unknown","Refugees (incl. refugee-like situations)","51000"
"207",1962,"Canada","Various/Unknown","Refugees (incl. refugee-like situations)","12282"
"208",1962,"Switzerland","Various/Unknown","Refugees (incl. refugee-like situations)","20000"
"209",1962,"Dem. Rep. of the Congo","Angola","Refugees (incl. refugee-like situations)","170000"
"210",1962,"Dem. Rep. of the Congo","Rwanda","Refugees (incl. refugee-like situations)","53000"
"211",1962,"Germany","Various/Unknown","Refugees (incl. refugee-like situations)","185000"
"212",1962,"Denmark","Various/Unknown","Refugees (incl. refugee-like situations)","2200"
"213",1962,"Spain","Various/Unknown","Refugees (incl. refugee-like situations)","2000"
"214",1962,"France","Various/Unknown","Refugees (incl. refugee-like situations)","259740"
"215",1962,"United Kingdom","Various/Unknown","Refugees (incl. refugee-like situations)","160000"
"216",1962,"Greece","Various/Unknown","Refugees (incl. refugee-like situations)","15700"
"217",1962,"Iran (Islamic Rep. of)","Various/Unknown","Refugees (incl. refugee-like situations)","2000"
"218",1962,"Italy","Various/Unknown","Refugees (incl. refugee-like situations)","14300"
"219",1962,"Luxembourg","Various/Unknown","Refugees (incl. refugee-like situations)","1900"
"220",1962,"Morocco","Various/Unknown","Refugees (incl. refugee-like situations)","2900"
"221",1962,"Netherlands","Various/Unknown","Refugees (incl. refugee-like situations)","10000"
"222",1962,"Norway","Various/Unknown","Refugees (incl. refugee-like situations)","3000"
"223",1962,"Sweden","Various/Unknown","Refugees (incl. refugee-like situations)","26000"
"224",1962,"Togo","Ghana","Refugees (incl. refugee-like situations)","5000"
"225",1962,"Tunisia","Various/Unknown","Refugees (incl. refugee-like situations)","1000"
"226",1962,"Turkey","Various/Unknown","Refugees (incl. refugee-like situations)","2300"
"227",1962,"United Rep. of Tanzania","Rwanda","Refugees (incl. refugee-like situations)","12000"
"228",1962,"Uganda","Rwanda","Refugees (incl. refugee-like situations)","52000"
"229",1962,"United States of America","Various/Unknown","Refugees (incl. refugee-like situations)","500000"
"230",1963,"Austria","Various/Unknown","Refugees (incl. refugee-like situations)","27000"
"231",1963,"Burundi","Rwanda","Refugees (incl. refugee-like situations)","34000"
"232",1963,"Belgium","Various/Unknown","Refugees (incl. refugee-like situations)","50000"
"233",1963,"Canada","Various/Unknown","Refugees (incl. refugee-like situations)","10946"
"234",1963,"Switzerland","Various/Unknown","Refugees (incl. refugee-like situations)","20000"
"235",1963,"Dem. Rep. of the Congo","Angola","Refugees (incl. refugee-like situations)","175000"
"236",1963,"Dem. Rep. of the Congo","Rwanda","Refugees (incl. refugee-like situations)","54000"
"237",1963,"Dem. Rep. of the Congo","Sudan","Refugees (incl. refugee-like situations)","8000"
"238",1963,"Germany","Various/Unknown","Refugees (incl. refugee-like situations)","182000"
"239",1963,"Denmark","Various/Unknown","Refugees (incl. refugee-like situations)","2200"
"240",1963,"Spain","Various/Unknown","Refugees (incl. refugee-like situations)","2000"
"241",1963,"France","Various/Unknown","Refugees (incl. refugee-like situations)","174057"
"242",1963,"United Kingdom","Various/Unknown","Refugees (incl. refugee-like situations)","157000"
"243",1963,"Greece","Various/Unknown","Refugees (incl. refugee-like situations)","15400"
"244",1963,"Iran (Islamic Rep. of)","Various/Unknown","Refugees (incl. refugee-like situations)","1500"
"245",1963,"Italy","Various/Unknown","Refugees (incl. refugee-like situations)","14600"
"246",1963,"Luxembourg","Various/Unknown","Refugees (incl. refugee-like situations)","1900"
"247",1963,"Morocco","Various/Unknown","Refugees (incl. refugee-like situations)","3200"
"248",1963,"Netherlands","Various/Unknown","Refugees (incl. refugee-like situations)","9500"
"249",1963,"Norway","Various/Unknown","Refugees (incl. refugee-like situations)","3000"
"250",1963,"Senegal","Guinea-Bissau","Refugees (incl. refugee-like situations)","6000"
"251",1963,"Sweden","Various/Unknown","Refugees (incl. refugee-like situations)","26000"
"252",1963,"Togo","Ghana","Refugees (incl. refugee-like situations)","5000"
"253",1963,"Tunisia","Various/Unknown","Refugees (incl. refugee-like situations)","1000"
"254",1963,"Turkey","Various/Unknown","Refugees (incl. refugee-like situations)","2300"
"255",1963,"United Rep. of Tanzania","Rwanda","Refugees (incl. refugee-like situations)","12000"
"256",1963,"Uganda","Rwanda","Refugees (incl. refugee-like situations)","54000"
"257",1963,"Uganda","Sudan","Refugees (incl. refugee-like situations)","5000"
"258",1963,"United States of America","Various/Unknown","Refugees (incl. refugee-like situations)","500000"
"259",1964,"Austria","Various/Unknown","Refugees (incl. refugee-like situations)","25000"
"260",1964,"Burundi","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","20000"
"261",1964,"Burundi","Rwanda","Refugees (incl. refugee-like situations)","58000"
"262",1964,"Belgium","Various/Unknown","Refugees (incl. refugee-like situations)","47000"
"263",1964,"Central African Rep.","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","3000"
"264",1964,"Central African Rep.","Sudan","Refugees (incl. refugee-like situations)","300"
"265",1964,"Canada","Various/Unknown","Refugees (incl. refugee-like situations)","10178"
"266",1964,"Switzerland","Various/Unknown","Refugees (incl. refugee-like situations)","20000"
"267",1964,"Dem. Rep. of the Congo","Angola","Refugees (incl. refugee-like situations)","200000"
"268",1964,"Dem. Rep. of the Congo","Rwanda","Refugees (incl. refugee-like situations)","28000"
"269",1964,"Dem. Rep. of the Congo","Sudan","Refugees (incl. refugee-like situations)","8000"
"270",1964,"Germany","Various/Unknown","Refugees (incl. refugee-like situations)","180000"
"271",1964,"Egypt","Albania","Refugees (incl. refugee-like situations)","100"
"272",1964,"Egypt","Armenia","Refugees (incl. refugee-like situations)","170"
"273",1964,"Egypt","Russian Federation","Refugees (incl. refugee-like situations)","120"
"274",1964,"Egypt","Various/Unknown","Refugees (incl. refugee-like situations)","80"
"275",1964,"Spain","Various/Unknown","Refugees (incl. refugee-like situations)","14000"
"276",1964,"France","Various/Unknown","Refugees (incl. refugee-like situations)","175861"
"277",1964,"United Kingdom","Various/Unknown","Refugees (incl. refugee-like situations)","160000"
"278",1964,"Greece","Various/Unknown","Refugees (incl. refugee-like situations)","16000"
"279",1964,"China, Hong Kong SAR","China","Refugees (incl. refugee-like situations)","1120000"
"280",1964,"India","Tibetan","Refugees (incl. refugee-like situations)","44000"
"281",1964,"Italy","Various/Unknown","Refugees (incl. refugee-like situations)","14000"
"282",1964,"Cambodia","Viet Nam","Refugees (incl. refugee-like situations)","10000"
"283",1964,"Lebanon","Various/Unknown","Refugees (incl. refugee-like situations)","1310"
"284",1964,"China, Macao SAR","China","Refugees (incl. refugee-like situations)","80000"
"285",1964,"Morocco","Various/Unknown","Refugees (incl. refugee-like situations)","3000"
"286",1964,"Netherlands","Various/Unknown","Refugees (incl. refugee-like situations)","9500"
"287",1964,"Nepal","Tibetan","Refugees (incl. refugee-like situations)","7000"
"288",1964,"Senegal","Guinea-Bissau","Refugees (incl. refugee-like situations)","30000"
"289",1964,"Sweden","Various/Unknown","Refugees (incl. refugee-like situations)","24000"
"290",1964,"Togo","Ghana","Refugees (incl. refugee-like situations)","5000"
"291",1964,"Tunisia","Various/Unknown","Refugees (incl. refugee-like situations)","1000"
"292",1964,"Turkey","Various/Unknown","Refugees (incl. refugee-like situations)","2300"
"293",1964,"United Rep. of Tanzania","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","1700"
"294",1964,"United Rep. of Tanzania","Mozambique","Refugees (incl. refugee-like situations)","10000"
"295",1964,"United Rep. of Tanzania","Rwanda","Refugees (incl. refugee-like situations)","13300"
"296",1964,"Uganda","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","34000"
"297",1964,"Uganda","Rwanda","Refugees (incl. refugee-like situations)","67000"
"298",1964,"Uganda","Sudan","Refugees (incl. refugee-like situations)","12000"
"299",1964,"United States of America","Various/Unknown","Refugees (incl. refugee-like situations)","500000"
"300",1965,"Australia","Various/Unknown","Refugees (incl. refugee-like situations)","40000"
"301",1965,"Austria","Various/Unknown","Refugees (incl. refugee-like situations)","25000"
"302",1965,"Burundi","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","13000"
"303",1965,"Burundi","Congo","Returnees","12000"
"304",1965,"Burundi","Rwanda","Refugees (incl. refugee-like situations)","52000"
"305",1965,"Burundi","Rwanda","Returnees","4500"
"306",1965,"Belgium","Various/Unknown","Refugees (incl. refugee-like situations)","47000"
"307",1965,"Central African Rep.","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","3000"
"308",1965,"Central African Rep.","Sudan","Refugees (incl. refugee-like situations)","17560"
"309",1965,"Canada","Various/Unknown","Refugees (incl. refugee-like situations)","9980"
"310",1965,"Switzerland","Various/Unknown","Refugees (incl. refugee-like situations)","20000"
"311",1965,"Dem. Rep. of the Congo","Angola","Refugees (incl. refugee-like situations)","220000"
"312",1965,"Dem. Rep. of the Congo","Rwanda","Refugees (incl. refugee-like situations)","25000"
"313",1965,"Dem. Rep. of the Congo","Rwanda","Returnees","1300"
"314",1965,"Dem. Rep. of the Congo","Sudan","Refugees (incl. refugee-like situations)","20000"
"315",1965,"Germany","Various/Unknown","Refugees (incl. refugee-like situations)","180000"
"316",1965,"Egypt","Various/Unknown","Refugees (incl. refugee-like situations)","5000"
"317",1965,"Spain","Various/Unknown","Refugees (incl. refugee-like situations)","14000"
"318",1965,"France","Various/Unknown","Refugees (incl. refugee-like situations)","177665"
"319",1965,"United Kingdom","Various/Unknown","Refugees (incl. refugee-like situations)","170000"
"320",1965,"Greece","Various/Unknown","Refugees (incl. refugee-like situations)","15560"
"321",1965,"China, Hong Kong SAR","China","Refugees (incl. refugee-like situations)","1250000"
"322",1965,"China, Hong Kong SAR","Various/Unknown","Refugees (incl. refugee-like situations)","1200"
"323",1965,"India","Tibetan","Refugees (incl. refugee-like situations)","45000"
"324",1965,"Italy","Various/Unknown","Refugees (incl. refugee-like situations)","15000"
"325",1965,"Cambodia","Viet Nam","Refugees (incl. refugee-like situations)","15000"
"326",1965,"Lebanon","Various/Unknown","Refugees (incl. refugee-like situations)","570"
"327",1965,"China, Macao SAR","China","Refugees (incl. refugee-like situations)","80000"
"328",1965,"Morocco","Various/Unknown","Refugees (incl. refugee-like situations)","2360"
"329",1965,"Morocco","Various/Unknown","Returnees","300"
"330",1965,"Netherlands","Various/Unknown","Refugees (incl. refugee-like situations)","9000"
"331",1965,"Nepal","Tibetan","Refugees (incl. refugee-like situations)","7000"
"332",1965,"Rwanda","Burundi","Refugees (incl. refugee-like situations)","3000"
"333",1965,"Rwanda","Burundi","Returnees","1000"
"334",1965,"Senegal","Guinea-Bissau","Refugees (incl. refugee-like situations)","50000"
"335",1965,"Serbia and Kosovo (S/RES/1244 (1999))","Albania","Refugees (incl. refugee-like situations)","4860"
"336",1965,"Serbia and Kosovo (S/RES/1244 (1999))","Greece","Refugees (incl. refugee-like situations)","17690"
"337",1965,"Serbia and Kosovo (S/RES/1244 (1999))","Hungary","Refugees (incl. refugee-like situations)","3270"
"338",1965,"Sweden","Various/Unknown","Refugees (incl. refugee-like situations)","22000"
